n,Multiplicand,Multiplier,ExpectedProduct,ResultPart1,OperationsPart1,ResultPart2,OperationsPart2
1,7,2,14,14,39,14,3
2,66,61,4026,4026,95,4026,65
3,784,244,191296,191296,175,191296,158
4,1213,6124,7428412,7428412,279,7428412,158
5,87870,87096,7653125520,7653125520,407,7653125520,406
6,288388,910161,262479510468,262479510468,559,262479510468,530
7,8534394,1667788,14233559900472,14233559900472,735,14233559900472,809
8,26719305,46145216,1232968100594880,1232968100594880,935,1232968100594880,778
9,348641066,244256721,85157923587104586,85157923587104586,1159,85157923587104586,1119
10,7168617728,5624596030,40320578813496419840,40320578813496419840,1407,40320578813496419840,1181
11,44793694027,31611858691,1416011925829414738657,1416011925829414738657,1679,1416011925829414738657,1646
12,831624212417,974398843885,810333671125898461520045,810333671125898461520045,1975,810333671125898461520045,1801
13,5021359272605,4783750960034,24020932240999796666068570,24020932240999796666068570,2295,24020932240999796666068570,1615
14,79784731667506,97282481816652,7761656707690611448118109912,7761656707690611448118109912,2639,7761656707690611448118109912,2235
15,585264797785496,367057368169180,214825756357211488823878213280,214825756357211488823878213280,3007,214825756357211488823878213280,2483
16,7867263751002051,1205636869260165,9485063238402095053997767598415,9485063238402095053997767598415,3399,9485063238402095053997767598415,2607
17,64598993799205291,27014317116934128,1745097703926593088738724796071248,1745097703926593088738724796071248,3815,1745097703926593088738724796071248,3041
18,677828501125702151,842698630622686320,571205149695657195392832459822274320,571205149695657195392832459822274320,4255,571205149695657195392832459822274320,3010
19,1619133639731535337,7409976583158745993,11997742355415266231245900301486654641,11997742355415266231245900301486654641,4719,11997742355415266231245900301486654641,3816
20,36136443571761512763,51522024076123968428,1861822715729791872408569261916131046564,1861822715729791872408569261916131046564,5207,1861822715729791872408569261916131046564,3692
21,829947902041847898310,843296955956380621557,699892539394274705632683288460571929868670,699892539394274705632683288460571929868670,5719,699892539394274705632683288460571929868670,4188
22,1875912679573039171080,7089556097336291408549,13299388175537500529478586317527244585562920,13299388175537500529478586317527244585562920,6255,13299388175537500529478586317527244585562920,4901
23,83870610334120744489406,20340956600409849484264,1706008444856235889209042901630486769111707184,1706008444856235889209042901630486769111707184,6815,1706008444856235889209042901630486769111707184,4405
24,676364674600460335352604,380869367503424553077135,257606585816736889862252594376089274053435109540,257606585816736889862252594376089274053435109540,7399,257606585816736889862252594376089274053435109540,4932
25,3471412679103202133311374,7470803643963413743048205,25934242492744999153347797831270747668649156783670,25934242492744999153347797831270747668649156783670,8007,25934242492744999153347797831270747668649156783670,5397
26,96402161778201886186240148,99258340882472620589144950,9568718635588035742583652104258132681845902681452600,9568718635588035742583652104258132681845902681452600,8639,9568718635588035742583652104258132681845902681452600,5645
27,379227600473667718531545908,667364756131200401647041262,253083135108329554900670713003026160646821359123255896,253083135108329554900670713003026160646821359123255896,9295,253083135108329554900670713003026160646821359123255896,5645
28,5483191735002045639550826942,4108858895644015884821086220,22529661136884900646125388424834091612429417719680939240,22529661136884900646125388424834091612429417719680939240,9975,22529661136884900646125388424834091612429417719680939240,6885
29,93691499093260578388764261262,10475516161914648151712375722,981466812985462791572519873565604895784002763866313881164,981466812985462791572519873565604895784002763866313881164,10679,981466812985462791572519873565604895784002763866313881164,6823
30,652551919040718057287740731186,291314751281938606047242782119,190097999993898518147775200901317257995755262169181946463134,190097999993898518147775200901317257995755262169181946463134,11407,190097999993898518147775200901317257995755262169181946463134,7071
31,3882522986419661620100339720176,8951160822679382815783002870355,34753087649191832543195231737526945259367878739448425505782480,34753087649191832543195231737526945259367878739448425505782480,12159,34753087649191832543195231737526945259367878739448425505782480,7660
32,66236144673063698440558022832255,59524360486845681970776492497787,3942664152778306913379925177920230690623881423837469861059719685,3942664152778306913379925177920230690623881423837469861059719685,12935,3942664152778306913379925177920230690623881423837469861059719685,7970
33,986936336093646842089936221882664,801252024973125880588252969581388,790784737814592076911443863927250405041070959516423707797334257632,790784737814592076911443863927250405041070959516423707797334257632,13735,790784737814592076911443863927250405041070959516423707797334257632,8869
34,4488348310562762455866330675543150,2562549282356803168631923376533487,11501613742199976846349356087141433748241975180213549134777888464050,11501613742199976846349356087141433748241975180213549134777888464050,14559,11501613742199976846349356087141433748241975180213549134777888464050,8714
35,31440577284918731514803544627445084,94320385958564012271744280855712219,2965487384273595360559466967384906728264546584147713113336081130281396,2965487384273595360559466967384906728264546584147713113336081130281396,15407,2965487384273595360559466967384906728264546584147713113336081130281396,9582
36,900595212585881047025949135223031040,705251590443338128081503543423653686,635146206021848815672903642510459881127477608348038933744724252188413440,635146206021848815672903642510459881127477608348038933744724252188413440,16279,635146206021848815672903642510459881127477608348038933744724252188413440,9706
37,5793737796837511755766544734132166928,1448993559632006485545244324654244331,8395088753814084966842427000611508295395301677332299615076389089389685168,8395088753814084966842427000611508295395301677332299615076389089389685168,17175,8395088753814084966842427000611508295395301677332299615076389089389685168,10047
38,84309403124397225251143754809059174968,35589538778015725846193253873719970342,3000532771847095242657360758981470625603837000198963889017793129963948799056,3000532771847095242657360758981470625603837000198963889017793129963948799056,18095,3000532771847095242657360758981470625603837000198963889017793129963948799056,11349
39,624413896507420898113375586661861955579,236383996305344904448227335212813997702,147601452205016197115152328547368773906440436872076638138383944030630532079458,147601452205016197115152328547368773906440436872076638138383944030630532079458,19039,147601452205016197115152328547368773906440436872076638138383944030630532079458,11039
